127.0.0.1 - - [23/Jan/2018:19:21:18 +0100] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [23/Jan/2018:19:21:18 +0100] "GET /Runner/WEB-INF/classes/pl/lukasz/webservices/TrackWebService.java HTTP/1.1" 404 1050
192.168.8.101 - - [23/Jan/2018:19:21:20 +0100] "GET /Runner/webservice/login?name=a&password=a HTTP/1.1" 200 45
192.168.8.101 - - [23/Jan/2018:19:21:31 +0100] "GET /Runner/webservice/login?name=a&password=a HTTP/1.1" 200 45
192.168.8.101 - - [23/Jan/2018:19:21:33 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 12
192.168.8.101 - - [23/Jan/2018:19:21:35 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:38 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:45 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:48 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:51 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:53 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:56 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:21:59 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:02 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:05 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:08 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:11 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:14 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:17 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:18 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:20 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:23 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 237
192.168.8.101 - - [23/Jan/2018:19:22:39 +0100] "POST /Runner/webservice/saveTrack HTTP/1.1" 200 12
192.168.8.101 - - [23/Jan/2018:19:24:48 +0100] "POST /Runner/webservice/saveTrackTime HTTP/1.1" 200 14
192.168.8.101 - - [23/Jan/2018:19:30:34 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 493
192.168.8.101 - - [23/Jan/2018:19:30:35 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 493
192.168.8.101 - - [23/Jan/2018:19:30:37 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 493
192.168.8.101 - - [23/Jan/2018:19:30:38 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 493
192.168.8.101 - - [23/Jan/2018:19:30:42 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 493
192.168.8.101 - - [23/Jan/2018:19:31:02 +0100] "POST /Runner/webservice/saveTrack HTTP/1.1" 200 12
192.168.8.101 - - [23/Jan/2018:19:31:05 +0100] "POST /Runner/webservice/saveTrackTime HTTP/1.1" 200 14
192.168.8.101 - - [23/Jan/2018:19:31:07 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 750
192.168.8.101 - - [23/Jan/2018:19:31:08 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 750
192.168.8.101 - - [23/Jan/2018:19:31:11 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 750
192.168.8.101 - - [23/Jan/2018:19:31:17 +0100] "POST /Runner/webservice/updateTracksMarkers HTTP/1.1" 200 750
